First Group: common number is 46
2,13,0,0,46,51,61,0,0,
0,14,23,37,0,58,0,0,88,
0,0,0,38,49,59,66,0,89

2,11,21,0,0,51,0,0,81,
5,0,25,0,46,53,0,77,0,
9,17,27,0,0,0,70,78,0

0,0,0,0,45,52,62,72,87,
7,19,0,0,0,54,64,73,0,
8,20,28,40,46,0,0,0,0


0,0,22,31,45,52,62,0,0,
7,0,0,34,47,0,66,76,0,
0,0,27,38,0,0,67,77,85

0,15,0,31,0,51,61,0,81,
3,18,0,0,46,0,0,79,82,
7,0,0,38,0,55,0,80,90,

0,10,24,0,45,0,62,74,0,
5,0,25,0,0,53,0,78,83,
0,20,0,37,46,55,70,0,0

0,0,22,35,41,0,62,71,0,
0,13,0,37,42,0,65,0,83,
9,20,0,0,46,0,69,0,89,

5,10,0,32,0,0,0,75,83,
0,12,29,0,46,69,76,0,0,
9,15,30,0,0,60,0,0,88,

0,10,25,0,0,56,61,0,83,
0,0,26,0,46,57,0,77,84,
0,20,28,0,0,59,69,78,0

5,11,23,31,0,0,0,74,0,
6,12,0,0,0,55,66,0,82,
0,0,29,37,46,0,0,78,89

Second Group: common number is 56
3,0,0,34,0,53,0,71,82,
4,16,0,0,0,56,67,74,0,
7,18,0,0,50,0,70,78,0,

3,0,23,0,43,56,0,0,81,
5,17,27,0,45,0,0,75,0,
0,19,30,38,48,0,0,79,0

0,11,0,32,43,0,0,75,81,
3,13,26,0,0,56,0,76,0,
0,0,30,40,47,0,68,77,0

3,0,0,0,0,55,61,73,83,
0,0,25,33,43,0,0,76,86,
0,0,29,37,0,0,70,79,88

0,14,0,32,0,56,0,71,83,
0,15,23,34,0,0,0,75,84,
6,0,0,35,47,0,69,80,0

0,10,0,0,46,51,62,0,84,
4,0,0,38,0,53,63,0,89,
0,16,26,0,50,56,0,80,0

1,13,0,33,0,55,64,0,0,
5,0,0,35,0,56,0,77,82,
6,0,0,36,48,60,70,0,0

0,10,21,0,0,56,0,71,81,
5,14,0,0,0,0,66,75,83,
0,15,28,37,0,0,69,80,0

5,10,24,32,0,52,0,0,0,
6,11,0,0,0,56,66,75,0,
0,20,29,0,48,60,0,0,90

0,0,21,0,41,51,61,0,82,
0,0,0,36,42,56,0,73,86,
0,0,0,39,0,59,63,79,87


Third Group: common number is 66
2,11,0,33,0,53,0,0,81,
4,12,0,0,0,0,66,78,85,
0,16,0,0,0,59,69,80,87

1,11,0,0,0,0,62,75,83,
0,0,24,0,46,0,66,76,87,
0,19,27,40,48,0,69,0,0

6,0,0,32,41,55,0,71,0,
0,0,0,34,44,56,66,0,85,
9,0,30,0,0,59,0,80,90

4,0,24,34,42,0,0,75,0,
0,16,0,36,46,0,63,79,0,
7,20,0,0,49,60,67,0,0

0,0,25,35,0,53,62,73,0,
8,0,27,36,0,0,66,0,88,
9,17,0,0,45,60,69,0,0

4,10,0,34,43,0,0,71,0,
8,0,0,35,0,57,66,72,0,
9,0,30,0,0,59,68,78,0

1,15,28,0,44,0,0,0,82,
8,0,29,36,0,57,0,74,0,
0,19,0,0,0,59,66,75,90

0,10,21,31,0,0,61,0,82,
5,0,0,0,48,52,66,74,0,
0,16,0,0,0,58,70,75,87

0,12,22,0,42,0,63,0,81,
0,0,25,39,43,0,66,79,0,
8,19,29,0,0,0,69,0,88

3,11,0,33,44,0,62,0,0,
6,0,25,0,48,56,66,0,0,
9,0,28,38,0,0,70,78,0
